NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME DA EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO ;04/02/2014;1169609;26/02/2014;***;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SO;***;***;R. JOSÉ WALDEMAR BARON;000239;***;***;***;CACHOEIRA;82710190
(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;14/12/2012;1119982;18/02/2013;***;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SO;***;***;R. DIONIZIO MARKOVICZ;000155;***;***;***;CIDADE INDUSTRIAL;81240160
+55 ADMINISTRADORA DE BENS LTDA.;24/03/2016;1263563;30/03/2016;31/12/2017;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;LOTEAMENTO DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;R. EVALDO WENDLER;000090;CS68;***;***;SÃO LOURENÇO;82200180
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;1227966;17/06/2015;31/12/2016;SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;***;RUA WALDIR PONTES;112;***;***;***;CIDADE INDUSTRIAL;***
0 STELLA SERVICOS E COMERCIO DE CARIMBOS;24/04/2003;969243;01/12/2010;***;COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA;SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNA;SERVIÇOS DE GRAVAÇÃO DE CARIMBOS, EXCETO CONFECÇÃO;R. MANOEL SILVÉRIO DOS SANTOS;000609;***;***;***;BUTIATUVINHA;82400200
0 SILVA & ANTUNES LTDA;01/08/2001;964466;01/12/2010;***;ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILARES;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GER;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;R. HASSIB JEZZINI;000440;01;***;TR;FANNY;81030360
0. CARVALHO DA ROCHA ME;19/04/2011;1017797;10/05/2011;***;COMÉRCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIG;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREAT;R. ANTÔNIO JOSÉ BONATO;001376;***;***;***;GANCHINHO;81935395
001 PERFUMES E INFORMATICA LTDA;03/12/2010;1066409;11/05/2012;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS D;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMÉSTICOS NÃ;R. PADRE ANCHIETA;001995;1801;18;***;BIGORRILHO;80730000
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/04/2012;1267511;03/05/2016;***;TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APL;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;***;R. JOSÉ ALEXANDRINO;000030;***;***;CASA 04;MOSSUNGUÊ;81210050
007 INFORMATICA LTDA ME;30/03/2012;1068718;30/05/2012;***;SALAS DE ACESSO À INTERNET;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPA;EST. DE SANTA CÂNDIDA;000941;***;***;***;SANTA CÂNDIDA;82630490
